VRF VLAN PORT ROUTER_MAC_OUT ROUTER_MAC_IN ROUTER_MAC_DEST Egress_ID Ingress_ID
3    3    1    {0x00, 0x00, 0x24, 0x38, 0x60, 0x86} {0x00, 0x02, 0x16, 0x35, 0x30, 0x82} {0x00, 0x01, 0xff, 0x3a, 0xae, 0x7c} 100003     3 10.3.3.1
4    4    23   {0x00, 0x1e, 0xe2, 0xbb, 0x3a, 0xb4} {0x00, 0x20, 0xa2, 0x00, 0xd3, 0x61} {0x00, 0x1f, 0xbd, 0xda, 0xfc, 0x92} 100015     15 10.4.4.1
3    3    60   {0x00, 0x21, 0x5d, 0xb6, 0x2c, 0x28} {0x00, 0x22, 0x96, 0x61, 0xca, 0x35} {0x00, 0x1f, 0xbd, 0xda, 0xfc, 0x92} 100016     16 10.3.3.1
5    5    38   {0x00, 0x23, 0xbe, 0xa6, 0x19, 0x89} {0x00, 0x25, 0xff, 0xcd, 0xc9, 0xa2} {0x00, 0x24, 0xd7, 0x16, 0x6a, 0x39} 100017     17 10.5.5.1
3    3    80   {0x00, 0x26, 0xe2, 0x43, 0xba, 0x9f} {0x00, 0x27, 0x09, 0xc6, 0x2b, 0xa1} {0x00, 0x24, 0xd7, 0x16, 0x6a, 0x39} 100018     18 10.3.3.1
8    8    40   {0x00, 0x28, 0xfb, 0x38, 0x43, 0x28} {0x00, 0x2a, 0xc9, 0xa9, 0xc8, 0xb3} {0x00, 0x29, 0x17, 0xee, 0xbe, 0x9b} 100019     19 10.8.8.1
3    3    2    {0x00, 0x2b, 0x93, 0xde, 0x79, 0xcf} {0x00, 0x2c, 0x98, 0x45, 0x5a, 0x3f} {0x00, 0x29, 0x17, 0xee, 0xbe, 0x9b} 100020     20 10.3.3.1
9    9    41   {0x00, 0x2d, 0x89, 0x37, 0x3a, 0x58} {0x00, 0x2f, 0x84, 0x01, 0x0d, 0x84} {0x00, 0x2e, 0x6b, 0xdb, 0x1f, 0x57} 100021     21 10.9.9.1
3    3    22   {0x00, 0x30, 0x36, 0x7e, 0x70, 0x9d} {0x00, 0x31, 0xe5, 0xf3, 0x1e, 0xee} {0x00, 0x2e, 0x6b, 0xdb, 0x1f, 0x57} 100022     22 10.3.3.1
12   12   42   {0x00, 0x32, 0x6d, 0x35, 0x59, 0x7c} {0x00, 0x34, 0x3e, 0xf0, 0x07, 0x3a} {0x00, 0x33, 0xdc, 0xf7, 0x29, 0xfb} 100023     23 10.12.12.1
3    3    103  {0x00, 0x35, 0xdd, 0xf5, 0x3d, 0xe2} {0x00, 0x36, 0x7e, 0x50, 0x2a, 0x7b} {0x00, 0x33, 0xdc, 0xf7, 0x29, 0xfb} 100024     24 10.3.3.1
5    5    61   {0x00, 0x37, 0x19, 0xcd, 0xc8, 0x28} {0x00, 0x39, 0x37, 0x5e, 0xd4, 0x46} {0x00, 0x38, 0xbb, 0xa0, 0x56, 0x4d} 100025     25 10.5.5.1
4    4    81   {0x00, 0x3a, 0x4b, 0x99, 0xc3, 0x33} {0x00, 0x3b, 0x15, 0xfa, 0x63, 0xd7} {0x00, 0x38, 0xbb, 0xa0, 0x56, 0x4d} 100026     26 10.4.4.1
6    6    62   {0x00, 0x3c, 0xa3, 0xc2, 0x11, 0x69} {0x00, 0x3e, 0x5c, 0x03, 0xed, 0xd7} {0x00, 0x3d, 0xa9, 0x6e, 0x4b, 0x65} 100027     27 10.6.6.1
4    4    102  {0x00, 0x3f, 0x4c, 0xe7, 0x2d, 0x10} {0x00, 0x40, 0x5b, 0x19, 0x7a, 0xc0} {0x00, 0x3d, 0xa9, 0x6e, 0x4b, 0x65} 100028     28 10.4.4.1
9    9    63   {0x00, 0x41, 0xa5, 0x36, 0x3c, 0x8d} {0x00, 0x43, 0xd3, 0x4b, 0x1e, 0x85} {0x00, 0x42, 0x21, 0x34, 0xbb, 0x1c} 100029     29 10.9.9.1
4    4    23   {0x00, 0x44, 0x80, 0xc1, 0x02, 0x75} {0x00, 0x45, 0x32, 0x56, 0xf9, 0x77} {0x00, 0x42, 0x21, 0x34, 0xbb, 0x1c} 100030     30 10.4.4.1
10   10   78   {0x00, 0x46, 0x9b, 0xb1, 0xb4, 0xc4} {0x00, 0x48, 0x21, 0x9e, 0x92, 0x0a} {0x00, 0x47, 0xb4, 0x33, 0x8d, 0xde} 100031     31 10.10.10.1
4    4    43   {0x00, 0x49, 0xc5, 0x6f, 0x5b, 0xe0} {0x00, 0x4a, 0x7d, 0xd8, 0xb2, 0xe1} {0x00, 0x47, 0xb4, 0x33, 0x8d, 0xde} 100032     32 10.4.4.1
6    6    82   {0x00, 0x4b, 0x0a, 0x8f, 0x30, 0x35} {0x00, 0x4d, 0xda, 0xd1, 0x85, 0xcf} {0x00, 0x4c, 0x79, 0xac, 0xd0, 0x5c} 100033     33 10.6.6.1
5    5    103  {0x00, 0x4e, 0x46, 0x89, 0x4d, 0x01} {0x00, 0x4f, 0x53, 0x08, 0x9c, 0x96} {0x00, 0x4c, 0x79, 0xac, 0xd0, 0x5c} 100034     34 10.5.5.1
7    7    83   {0x00, 0x50, 0x1a, 0x3d, 0x42, 0x9b} {0x00, 0x52, 0x6f, 0x0b, 0x70, 0xcb} {0x00, 0x51, 0xaa, 0x83, 0x34, 0x47} 100035     35 10.7.7.1
5    5    140  {0x00, 0x53, 0x04, 0x11, 0xd9, 0x73} {0x00, 0x54, 0x06, 0x15, 0x8f, 0x9e} {0x00, 0x51, 0xaa, 0x83, 0x34, 0x47} 100036     36 10.5.5.1
10   10   100  {0x00, 0x55, 0xed, 0xa5, 0x78, 0x1d} {0x00, 0x57, 0xec, 0x4a, 0x50, 0x32} {0x00, 0x56, 0x46, 0xc4, 0xf5, 0x51} 100037     37 10.10.10.1
5    5    60   {0x00, 0x58, 0x58, 0x7f, 0x46, 0xa3} {0x00, 0x59, 0x72, 0x9d, 0x75, 0x6d} {0x00, 0x56, 0x46, 0xc4, 0xf5, 0x51} 100038     38 10.5.5.1
11   11   101  {0x00, 0x5a, 0xf3, 0x11, 0x63, 0x16} {0x00, 0x5c, 0x7a, 0xa0, 0x22, 0x06} {0x00, 0x5b, 0xe3, 0x10, 0xb9, 0x65} 100039     39 10.11.11.1
5    5    81   {0x00, 0x5d, 0x8b, 0x2a, 0xe8, 0x7b} {0x00, 0x5e, 0xab, 0x9b, 0x90, 0x7b} {0x00, 0x5b, 0xe3, 0x10, 0xb9, 0x65} 100040     40 10.5.5.1
7    7    118  {0x00, 0x5f, 0xe3, 0x7d, 0x46, 0x7c} {0x00, 0x61, 0xca, 0x4f, 0xf6, 0x2e} {0x00, 0x60, 0xd8, 0x59, 0x98, 0xf9} 100041     41 10.7.7.1
6    6    141  {0x00, 0x62, 0xd9, 0x74, 0xe1, 0x03} {0x00, 0x63, 0x6a, 0x5a, 0x4b, 0x2f} {0x00, 0x60, 0xd8, 0x59, 0x98, 0xf9} 100042     42 10.6.6.1
8    8    120  {0x00, 0x64, 0x69, 0xf4, 0x9d, 0xf4} {0x00, 0x66, 0xb1, 0xb7, 0x4c, 0xca} {0x00, 0x65, 0x9e, 0x89, 0x5d, 0xfe} 100043     43 10.8.8.1
6    6    3    {0x00, 0x67, 0xc5, 0xb9, 0x92, 0x47} {0x00, 0x68, 0xe1, 0x20, 0xa1, 0x9c} {0x00, 0x65, 0x9e, 0x89, 0x5d, 0xfe} 100044     44 10.6.6.1
11   11   121  {0x00, 0x69, 0xf8, 0x6a, 0x6d, 0x87} {0x00, 0x6b, 0x1f, 0xff, 0x2a, 0xe2} {0x00, 0x6a, 0xe6, 0xf2, 0xde, 0x89} 100045     45 10.11.11.1
6    6    82   {0x00, 0x6c, 0xb0, 0x87, 0xbf, 0xe9} {0x00, 0x6d, 0xc3, 0xa0, 0xc8, 0x4e} {0x00, 0x6a, 0xe6, 0xf2, 0xde, 0x89} 100046     46 10.6.6.1
12   12   122  {0x00, 0x6e, 0x8a, 0xfc, 0xc1, 0x0e} {0x00, 0x70, 0xf8, 0xb9, 0x69, 0x4c} {0x00, 0x6f, 0x45, 0x26, 0xf1, 0x0e} 100047     47 10.12.12.1
6    6    118  {0x00, 0x71, 0xa9, 0x0a, 0xbd, 0xb5} {0x00, 0x72, 0x01, 0x2e, 0x54, 0xbb} {0x00, 0x6f, 0x45, 0x26, 0xf1, 0x0e} 100048     48 10.6.6.1
8    8    142  {0x00, 0x73, 0x08, 0xf1, 0x76, 0xcf} {0x00, 0x75, 0x71, 0x47, 0xab, 0x9b} {0x00, 0x74, 0x94, 0x4b, 0x51, 0x5e} 100049     49 10.8.8.1
7    7    4    {0x00, 0x76, 0x05, 0xfb, 0x46, 0x19} {0x00, 0x77, 0xb9, 0x0f, 0x4e, 0x4c} {0x00, 0x74, 0x94, 0x4b, 0x51, 0x5e} 100050     50 10.7.7.1
9    9    143  {0x00, 0x78, 0xed, 0xac, 0xe9, 0x14} {0x00, 0x7a, 0xa6, 0xef, 0x41, 0xba} {0x00, 0x79, 0x3b, 0xb3, 0x9e, 0xab} 100051     51 10.9.9.1
7    7    38   {0x00, 0x7b, 0x32, 0x00, 0x88, 0x8f} {0x00, 0x7c, 0x41, 0x6d, 0x1d, 0x5b} {0x00, 0x79, 0x3b, 0xb3, 0x9e, 0xab} 100052     52 10.7.7.1
12   12   158  {0x00, 0x7d, 0xce, 0x65, 0x3c, 0xa7} {0x00, 0x7f, 0xf9, 0x8f, 0x1a, 0xda} {0x00, 0x7e, 0x17, 0x80, 0x05, 0x37} 100053     53 10.12.12.1
7    7    120  {0x00, 0x80, 0xb0, 0x95, 0x59, 0x46} {0x00, 0x81, 0xbd, 0xe1, 0x83, 0x31} {0x00, 0x7e, 0x17, 0x80, 0x05, 0x37} 100054     54 10.7.7.1
9    9    20   {0x00, 0x82, 0x6a, 0xee, 0x74, 0x4b} {0x00, 0x84, 0xaf, 0x92, 0x99, 0xd1} {0x00, 0x83, 0x3d, 0xc4, 0xab, 0xb1} 100055     55 10.9.9.1
8    8    40   {0x00, 0x85, 0x4a, 0x1c, 0xde, 0x10} {0x00, 0x86, 0x18, 0x52, 0xb7, 0x95} {0x00, 0x83, 0x3d, 0xc4, 0xab, 0xb1} 100056     56 10.8.8.1
10   10   21   {0x00, 0x87, 0x18, 0x3f, 0x59, 0x4c} {0x00, 0x89, 0xcc, 0xd1, 0x9a, 0xef} {0x00, 0x88, 0x1d, 0xdc, 0xdb, 0xd0} 100057     57 10.10.10.1
8    8    61   {0x00, 0x8a, 0x3d, 0xe5, 0x9d, 0x00} {0x00, 0x8b, 0x25, 0x08, 0x5f, 0x41} {0x00, 0x88, 0x1d, 0xdc, 0xdb, 0xd0} 100058     58 10.8.8.1
10   10   41   {0x00, 0x8c, 0x74, 0x34, 0xc7, 0x14} {0x00, 0x8e, 0xf4, 0x03, 0xc2, 0x4f} {0x00, 0x8d, 0x39, 0x1f, 0xdb, 0xf6} 100059     59 10.10.10.1
9    9    62   {0x00, 0x8f, 0xa7, 0xe8, 0x3e, 0x73} {0x00, 0x90, 0xc0, 0x8c, 0x2f, 0x65} {0x00, 0x8d, 0x39, 0x1f, 0xdb, 0xf6} 100060     60 10.9.9.1
11   11   42   {0x00, 0x91, 0x33, 0x8e, 0x0e, 0x38} {0x00, 0x93, 0x7c, 0xac, 0xc5, 0x3a} {0x00, 0x92, 0x9a, 0xe6, 0xe6, 0xe7} 100061     61 10.11.11.1
9    9    83   {0x00, 0x94, 0xe2, 0x11, 0x21, 0x8b} {0x00, 0x95, 0xa5, 0xc7, 0xe7, 0x13} {0x00, 0x92, 0x9a, 0xe6, 0xe6, 0xe7} 100062     62 10.9.9.1
11   11   63   {0x00, 0x96, 0xfe, 0xe5, 0x57, 0x99} {0x00, 0x98, 0x86, 0xe9, 0x1e, 0x84} {0x00, 0x97, 0x83, 0x99, 0xf5, 0x93} 100063     63 10.11.11.1
10   10   100  {0x00, 0x99, 0xaf, 0x56, 0x43, 0x11} {0x00, 0x9a, 0x2b, 0x61, 0xf6, 0x81} {0x00, 0x97, 0x83, 0x99, 0xf5, 0x93} 100064     64 10.10.10.1
12   12   78   {0x00, 0x9b, 0x87, 0xe9, 0x8d, 0xb0} {0x00, 0x9d, 0xdf, 0xaf, 0x0d, 0x29} {0x00, 0x9c, 0x87, 0xf6, 0xd5, 0x68} 100065     65 10.12.12.1
10   10   121  {0x00, 0x9e, 0x42, 0x82, 0x75, 0x99} {0x00, 0x9f, 0xbb, 0x18, 0x63, 0xa7} {0x00, 0x9c, 0x87, 0xf6, 0xd5, 0x68} 100066     66 10.10.10.1
12   12   101  {0x00, 0xa0, 0x8c, 0xec, 0x59, 0x84} {0x00, 0xa2, 0xae, 0xbf, 0x01, 0xbf} {0x00, 0xa1, 0xc5, 0x50, 0x3f, 0x54} 100067     67 10.12.12.1
11   11   122  {0x00, 0xa3, 0xb8, 0xb4, 0xf0, 0xd7} {0x00, 0xa4, 0x42, 0x75, 0xf8, 0x3b} {0x00, 0xa1, 0xc5, 0x50, 0x3f, 0x54} 100068     68 10.11.11.1
